Fecha de Modificación,Componente Base,Componente Variable,Impuesto Especifico,Vigencia Desde
19/11/2024 23:24:38,7.0,-0.2689,6.7311,14/11/2024
19/11/2024 23:24:38,6.0,0.0476,6.0476,14/11/2024
19/11/2024 23:24:38,1.5,-0.3084,1.1916,14/11/2024
19/11/2024 23:24:38,1.4,-0.0448,1.3552,14/11/2024
19/11/2024 23:24:38,1.93,-0.0681,1.8619,14/11/2024
19/11/2024 23:25:17,6.0,-0.2689,5.7311,21/11/2024
19/11/2024 23:25:17,6.0,0.0476,6.0476,21/11/2024
19/11/2024 23:25:17,1.5,-0.3084,1.1916,21/11/2024
19/11/2024 23:25:17,1.4,-0.0448,1.3552,21/11/2024
19/11/2024 23:25:17,1.93,-0.0681,1.8619,21/11/2024
19/11/2024 23:26:25,6.0,-0.2689,5.7311,14/11/2024
19/11/2024 23:26:25,6.0,0.0476,6.0476,14/11/2024
19/11/2024 23:26:25,1.5,-0.3084,1.1916,14/11/2024
19/11/2024 23:26:25,1.4,-0.0448,1.3552,14/11/2024
19/11/2024 23:26:25,1.93,-0.0681,1.8619,14/11/2024
19/11/2024 23:58:22,6.0,-0.2689,5.7311,14/11/2024
19/11/2024 23:58:22,6.0,0.0476,6.0476,14/11/2024
19/11/2024 23:58:22,1.5,-0.3084,1.1916,14/11/2024
19/11/2024 23:58:22,1.4,-0.0448,1.3552,14/11/2024
19/11/2024 23:58:22,1.93,-0.0681,1.8619,14/11/2024
29/11/2024 14:06:20,6.0,0.0,6.0,28/11/2024
29/11/2024 14:06:20,6.0,0.0,6.0,28/11/2024
29/11/2024 14:06:20,1.5,-0.139,1.361,28/11/2024
29/11/2024 14:06:20,1.4,0.0,1.4,28/11/2024
29/11/2024 14:06:20,1.93,0.0,1.93,28/11/2024
10/12/2024 10:46:12,6.0,-0.1400,5.86,05/12/2024
10/12/2024 10:46:12,6.0,-0.1571,5.8429,05/12/2024
10/12/2024 10:46:12,1.5,-0.3418,1.1582,05/12/2024
10/12/2024 10:46:12,1.4,0.3672,1.7672,05/12/2024
10/12/2024 10:46:12,1.93,0.5580,2.488,05/12/2024
11/12/2024 08:59:45,6.0,0.1666,6.1666,12/12/2024
11/12/2024 08:59:45,6.0,0.1084,6.1084,12/12/2024
11/12/2024 08:59:45,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 08:59:45,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 08:59:45,1.93,0.558,2.488,12/12/2024
11/12/2024 09:44:28,6.0,0.1666,6.1666,12/12/2024
11/12/2024 09:44:28,6.0,0.1084,6.1084,12/12/2024
11/12/2024 09:44:28,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 09:44:28,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 09:44:28,1.93,0.558,2.488,12/12/2024
11/12/2024 09:45:51,6.0,0.1666,6.1666,12/12/2024
11/12/2024 09:45:51,6.0,0.1084,6.1084,12/12/2024
11/12/2024 09:45:51,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 09:45:51,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 09:45:51,1.93,0.558,2.488,12/12/2024
11/12/2024 10:01:42,6.0,0.1666,6.1666,12/12/2024
11/12/2024 10:01:42,6.0,0.1084,6.1084,12/12/2024
11/12/2024 10:01:42,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 10:01:42,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 10:01:42,1.93,0.558,2.488,12/12/2024
11/12/2024 10:01:57,6.0,0.1666,6.1666,12/12/2024
11/12/2024 10:01:57,6.0,0.1084,6.1084,12/12/2024
11/12/2024 10:01:57,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 10:01:57,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 10:01:57,1.92,0.558,2.4779999999999998,12/12/2024
11/12/2024 10:02:14,6.0,0.1666,6.1666,12/12/2024
11/12/2024 10:02:14,6.0,0.1084,6.1084,12/12/2024
11/12/2024 10:02:14,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 10:02:14,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 10:02:14,1.93,0.558,2.488,12/12/2024
11/12/2024 10:07:19,6.0,0.1666,6.1666,12/12/2024
11/12/2024 10:07:19,6.0,0.1084,6.1084,12/12/2024
11/12/2024 10:07:19,1.5,-0.0216,1.4784,12/12/2024
11/12/2024 10:07:19,1.4,0.3672,1.7671999999999999,12/12/2024
11/12/2024 10:07:19,1.93,0.558,2.488,12/12/2024
11/12/2024 10:07:35,6.0,0.1666,6.1666,12/12/2024
11/12/2024 10:07:35,6.0,0.1084,6.1084,12/12/2024
11/12/2024 10:07:35,1.5,-0.0216,1.4784,12/12/2024
