Tipo de Operación,Glosa a Consignar,Código
IMPORTACIÓN PAGO CONTADO NORMAL,IMPORT. CTDO/ NORMAL,101
IMPORTACIÓN PAGO CONTADO ANTICIPADO,IMPORT. CTDO/ ANTIC.,151
IMPORTACIÓN PAGO DIFERIDO NORMAL,IMPORT. DIF/ NORMAL,102
IMPORTACIÓN PAGO DIFERIDO ANTICIPADO,IMPORT. DIF/ ANTIC.,152
IMPORTACIÓN ABONA O CANCELA DAPI. PAGO CONTADO,IMP. ABONA DAPI CTDO.,103
IMPORTACIÓN ABONA O CANCELA DAPI. PAGO DIFERIDO,IMP. ABONA DAPI DIF.,120
IMPORTACIÓN ABONA O CANCELA DAT. PAGO CONTADO 	IMP. ABONA DAT CTDO. 	104
IMPORTACIÓN ABONA O CANCELA DAT. PAGO DIFERIDO 	IMP. ABONA DAT DIF. 	121
IMPORTACIÓN ABONA O CANCELA AD. TEMP. PERF. ACT. (DAPE) 	IMP. ABONA DAPE 	105
IMPORTACIONES FUERZAS ARMADAS NORMAL 	IMP. FFAA NORMAL 	130
IMPORTACIONES FUERZAS ARMADAS ANTICIPADO 	IMP. FFAA ANTIC. 	180
IMPORTACION ABONA O CANCEL DAPITS 	IMP. ABONA DAPITS 	134
IMPORTACION CON PAGO GARANTIZADO NORMAL 	IMPORT. GARANT. NORM 	129
IMPORTACION CON PAGO GARANTIZADO ANTICIPADO 	IMPORT. GARANT. ANT. 	179
ALMACÉN PARTICULAR IMPORTACIÓN NORMAL 	DAPI NORMAL 	106
ALMACÉN PARTICULAR IMPORTACIÓN ANTICIPADO 	DAPI ANTICIPADO 	156
DAPI-DI CONTADO NORMAL 	DAPI DI CTDO NORMAL 	113
DAPI MERCANCÍAS DE EXPORTACIÓN NORMAL 	DAPI EXP. NORMAL 	125
DAPI MERCANCÍAS DE EXPORTACIÓN ANTICIPADO 	DAPI EXP. ANTIC. 	175
DAPI MERCANCÍAS ANEXO 81 CNA NORMAL 	DAPI ANEXO 81 NORMAL 	126
DAPI MERCANCÍAS ANEXO 81 CNA ANTICIPADO 	DAPI ANEXO 81 ANTIC. 	176
DAPI INC. 2º ART. 109 ORDENANZA NORMAL 	DAPI INC. 2º NORMAL 	127
DAPI INC. 2º ART. 109 ORDENANZA ANTICIPADO 	DAPI INC. 2º ANTIC. 	177
DAPI ROTULACIÓN CALZADO NORMAL 	DAPI NOR. ROT. 	145
DAPI ROTULACIÓN CALZADO ANTICIPADO 	DAPI ANT. ROT. 	146
ALM. PART. IMPORTACIÓN SIMPLIFICADO (DAPITS) NORMAL 	DAPITS NORMAL 	117
ALM. PART. IMPORTACIÓN SIMPLIFICADO (DAPITS) ANTICIPADO 	DAPITS ANTICIPADO 	167
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO DTO. 224 NORMAL 	DAPE 224 NORMAL 	107
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO DTO. 224 ANTICIPADO 	DAPE 224 ANTIC. 	157
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO DTO. 473 	NORMAL DAPE 473 NORMAL 	137
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO DTO. 473 ANTICIPADO 	DAPE 473 ANTIC. 	187
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO. DTO 135 NORMAL 	DAPE 135 NORMAL 	108
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO. DTO. 135 ANTICIPADO 	DAPE 135 ANTIC. 	158
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO. DTO 28 NORMAL 	DATPA DCTO.28 NORMAL 	140
ADMISIÓN TEMPORAL PARA PERFEC. ACTIVO. DTO 28 ANTICIPADO 	DATPA DCTO.28 ANTICIPADO 	141
ADMISIÓN TEMPORAL CON PAGO TASA NORMAL 	DAT PAGO NORMAL 	109
ADMISIÓN TEMPORAL CON PAGO TASA ANTICIPADO 	DAT PAGO ANTIC. 	159
ADMISIÓN TEMPORAL SIN PAGO TASA NORMAL 	DAT S/PAGO NORMAL 	110
ADMISIÓN TEMPORAL SIN PAGO TASA ANTICIPADO 	DAT S/PAGO ANTIC. 	160
ADMISIÓN TEMPORAL FISA Y OTRAS FERIAS NORMAL 	DAT FERIAS NORMAL 	111
ADMISIÓN TEMPORAL FISA Y OTRAS FERIAS ANTICIPADO 	DAT FERIAS ANTIC. 	161
REINGRESO TRÁMITE NORMAL. ABONA O CANCELA D.S.T. 	REINGRESO NORMAL 	112
REINGRESO TRAM.ANTIC. ABONA O CANCELA D.S.T. 	REINGRESO ANTIC. 	162
REINGRESO ABONA O CANCELA DAPI 	REING ABONA DAPI 	118
REINGRESO ABONA O CANCELA DAPITS 	REING. ABONA DAPITS 	128
REINGRESO RETIRO DIRECTO NORMAL 	REING. DIRECTO NORMAL 	124
REINGRESO RETIRO DIRECTO ANTICIPADO 	REING. DIRECTO ANTIC. 	174
IMPORTACIÓN PAGO SIMULTÁNEO NORMAL 	DIPS NORMAL 	115
IMPORTACIÓN PAGO SIMULTÁNEO ANTICIPADO 	DIPS ANTICIPADO 	165
IMPORTACIÓN PAGO SIMULTÁNEO ABONA O CANCELA DAPITS 	DIPS ABONA DAPlTS 	116
IMPORTACION PAGO SIMULTÁNEO COURIER NORMAL 	DIPS COURIER/NORMAL 	122
IMPORTACION PAGO SIMULTÁNEO COURIER ANTICIPADO 	DIPS COURIER/ANTIC. 	123
IMPORTACION PAGO SIMULTÁNEO VIAJEROS 	DIPS VIAJEROS 	119
SOLICITUD ENTREGA DE MERCANCÍAS 	S.E.M. 	131
SOLICITUD REDESTINACIÓN A ZONA FRANCA 	REDESTINACIÓN Z.F 	132
FACTURA REMATE 	FACTURA REMATE 	133
IMPORTACION VIA POSTAL 	IMPORTACION VIA POSTAL 	171
DEPÓSITO NORMAL 	DEPÓSITO NORMAL 	138
DEPÓSITO ANTICIPADO 	DEPÓSITO ANTICIPADO 	139
IMPORTACIÓN ABONA/CANCELA DEPÓSITO 	IMPORTACIÓN ABONA/CANCELA DEPÓSITO 	142
